instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,1/1/2011,1,0,1,0,0,6,0,1,0.24,0.29,0.81,0.00,3.00,13.00,16.00
2,1/1/2011,1,0,1,1,0,6,0,1,0.22,0.27,0.80,0.00,8.00,32.00,40.00
3,1/1/2011,1,0,1,2,0,6,0,1,0.22,0.27,0.80,0.00,5.00,27.00,32.00
4,1/1/2011,1,0,1,3,0,6,0,1,0.24,0.29,0.75,0.00,3.00,10.00,13.00
5,1/1/2011,1,0,1,4,0,6,0,1,0.24,0.29,0.75,0.00,0.00,1.00,1.00
6,1/1/2011,1,0,1,5,0,6,0,2,0.24,0.26,0.75,0.09,0.00,1.00,1.00
7,1/1/2011,1,0,1,6,0,6,0,1,0.22,0.27,0.80,0.00,2.00,0.00,2.00
8,1/1/2011,1,0,1,7,0,6,0,1,0.20,0.26,0.86,0.00,1.00,2.00,3.00
9,1/1/2011,1,0,1,8,0,6,0,1,0.24,0.29,0.75,0.00,1.00,7.00,8.00
10,1/1/2011,1,0,1,9,0,6,0,1,0.32,0.35,0.76,0.00,8.00,6.00,14.00
11,1/1/2011,1,0,1,10,0,6,0,1,0.38,0.39,0.76,0.25,12.00,24.00,36.00
12,1/1/2011,1,0,1,11,0,6,0,1,0.36,0.33,0.81,0.28,26.00,30.00,56.00
13,1/1/2011,1,0,1,12,0,6,0,1,0.42,0.42,0.77,0.28,29.00,55.00,84.00
14,1/1/2011,1,0,1,13,0,6,0,2,0.46,0.45,0.72,0.30,47.00,47.00,94.00
15,1/1/2011,1,0,1,14,0,6,0,2,0.46,0.45,0.72,0.28,35.00,71.00,106.00
16,1/1/2011,1,0,1,15,0,6,0,2,0.44,0.44,0.77,0.30,40.00,70.00,110.00
17,1/1/2011,1,0,1,16,0,6,0,2,0.42,0.42,0.82,0.30,41.00,52.00,93.00
18,1/1/2011,1,0,1,17,0,6,0,2,0.44,0.44,0.82,0.28,15.00,52.00,67.00
19,1/1/2011,1,0,1,18,0,6,0,3,0.42,0.42,0.88,0.25,9.00,26.00,35.00
20,1/1/2011,1,0,1,19,0,6,0,3,0.42,0.42,0.88,0.25,6.00,31.00,37.00
21,1/1/2011,1,0,1,20,0,6,0,2,0.40,0.41,0.87,0.25,11.00,25.00,36.00
